Day,Bill English: (New Zealand),Jacinda Ardern: (New Zealand),Winston Peters: (New Zealand),James Shaw: (New Zealand)
5/23/2017,2,1,0,0
5/24/2017,0,1,0,0
5/25/2017,2,1,2,0
5/26/2017,1,1,1,1
5/27/2017,1,1,1,0
5/28/2017,1,0,1,0
5/29/2017,1,0,0,0
5/30/2017,1,1,1,0
5/31/2017,3,0,1,0
6/1/2017,1,1,1,0
6/2/2017,4,2,0,0
6/3/2017,1,1,1,0
6/4/2017,3,1,1,0
6/5/2017,1,1,1,0
6/6/2017,3,1,1,0
6/7/2017,2,1,1,1
6/8/2017,2,1,2,0
6/9/2017,2,1,1,0
6/10/2017,1,1,2,0
6/11/2017,3,0,1,0
6/12/2017,1,0,0,0
6/13/2017,1,1,1,0
6/14/2017,0,1,2,0
6/15/2017,1,1,1,0
6/16/2017,2,1,1,0
6/17/2017,4,1,2,0
6/18/2017,1,0,0,0
6/19/2017,2,1,1,0
6/20/2017,3,1,1,0
6/21/2017,3,1,1,0
6/22/2017,2,0,1,0
6/23/2017,1,1,1,0
6/24/2017,3,0,1,0
6/25/2017,3,0,3,0
6/26/2017,4,1,2,0
6/27/2017,2,1,1,0
6/28/2017,2,1,1,0
6/29/2017,2,1,1,0
6/30/2017,2,1,3,0
7/1/2017,1,0,2,0
7/2/2017,1,2,1,0
7/3/2017,1,1,1,0
7/4/2017,1,1,1,0
7/5/2017,2,0,1,0
7/6/2017,1,0,1,0
7/7/2017,1,1,2,0
7/8/2017,0,0,1,0
7/9/2017,2,1,1,1
7/10/2017,1,1,2,0
7/11/2017,1,1,2,1
7/12/2017,1,1,1,0
7/13/2017,1,1,1,0
7/14/2017,2,1,1,0
7/15/2017,0,0,2,0
7/16/2017,1,1,7,0
7/17/2017,1,1,4,0
7/18/2017,1,1,2,0
7/19/2017,1,1,1,0
7/20/2017,1,0,1,0
7/21/2017,2,1,1,0
7/22/2017,1,1,1,0
7/23/2017,1,1,2,0
7/24/2017,1,0,2,0
7/25/2017,2,1,2,1
7/26/2017,3,1,4,0
7/27/2017,3,0,1,0
7/28/2017,2,1,2,0
7/29/2017,1,1,0,0
7/30/2017,1,1,2,0
7/31/2017,3,22,2,0
8/1/2017,4,100,3,0
8/2/2017,7,61,2,0
8/3/2017,3,37,2,0
8/4/2017,6,22,3,1
8/5/2017,5,22,2,0
8/6/2017,4,25,3,1
8/7/2017,4,15,2,1
8/8/2017,4,8,3,1
8/9/2017,5,15,2,1
8/10/2017,4,15,4,1
8/11/2017,2,9,3,0
8/12/2017,3,7,3,0
8/13/2017,2,7,2,1
8/14/2017,3,6,1,1
8/15/2017,3,4,1,0
8/16/2017,5,4,2,0
8/17/2017,3,10,2,1
8/18/2017,2,11,2,0
8/19/2017,1,10,1,0
8/20/2017,4,15,1,1
8/21/2017,4,13,1,0
8/22/2017,4,12,3,0
8/23/2017,3,17,3,0
8/24/2017,3,9,2,1
8/25/2017,4,10,2,0
8/26/2017,2,8,1,1
8/27/2017,8,9,9,0
8/28/2017,3,6,9,0
8/29/2017,5,7,8,0
8/30/2017,5,8,8,0
8/31/2017,13,34,4,0
9/1/2017,8,16,3,0
9/2/2017,4,12,3,1
9/3/2017,7,11,2,0
9/4/2017,15,27,6,0
9/5/2017,11,15,3,0
9/6/2017,7,19,3,1
9/7/2017,10,20,4,1
9/8/2017,6,13,4,0
9/9/2017,4,9,4,0
9/10/2017,4,15,2,0
9/11/2017,6,18,4,0
9/12/2017,5,22,3,0
9/13/2017,8,17,5,1
9/14/2017,11,14,8,1
9/15/2017,7,11,5,0
9/16/2017,6,13,4,0
9/17/2017,9,12,7,0
9/18/2017,6,14,5,3
9/19/2017,9,26,8,1
9/20/2017,12,16,7,0
9/21/2017,11,23,7,1
9/22/2017,11,29,12,0
9/23/2017,61,49,59,3
