Day,New Zealand National Party: (New Zealand),New Zealand Labour Party: (New Zealand),New Zealand First: (New Zealand),Green Party of Aotearoa New Zealand: (New Zealand)
5/23/2017,1,1,2,2
5/24/2017,1,0,1,1
5/25/2017,1,1,3,3
5/26/2017,2,0,2,0
5/27/2017,0,1,1,1
5/28/2017,1,1,1,1
5/29/2017,1,0,1,1
5/30/2017,2,0,1,7
5/31/2017,1,2,2,4
6/1/2017,3,3,3,3
6/2/2017,1,1,3,1
6/3/2017,3,2,2,2
6/4/2017,2,0,3,3
6/5/2017,1,0,2,1
6/6/2017,1,1,2,2
6/7/2017,2,2,0,2
6/8/2017,2,2,1,4
6/9/2017,1,1,1,3
6/10/2017,2,2,2,2
6/11/2017,3,1,3,1
6/12/2017,2,4,2,1
6/13/2017,2,0,2,0
6/14/2017,2,2,1,0
6/15/2017,3,3,3,1
6/16/2017,1,1,6,1
6/17/2017,2,2,0,0
6/18/2017,1,1,1,3
6/19/2017,3,1,2,1
6/20/2017,2,3,1,2
6/21/2017,3,1,2,1
6/22/2017,3,2,0,1
6/23/2017,3,3,1,0
6/24/2017,1,1,1,3
6/25/2017,2,1,4,0
6/26/2017,3,2,4,1
6/27/2017,3,1,1,2
6/28/2017,0,1,3,0
6/29/2017,0,1,1,0
6/30/2017,1,4,4,0
7/1/2017,3,0,4,1
7/2/2017,1,1,2,0
7/3/2017,3,2,2,0
7/4/2017,3,1,3,1
7/5/2017,1,1,2,0
7/6/2017,3,2,0,0
7/7/2017,2,0,4,1
7/8/2017,0,2,2,4
7/9/2017,1,1,4,4
7/10/2017,3,3,3,2
7/11/2017,1,5,6,1
7/12/2017,5,2,5,3
7/13/2017,3,1,7,1
7/14/2017,0,0,4,1
7/15/2017,4,2,7,3
7/16/2017,3,2,7,1
7/17/2017,2,1,6,3
7/18/2017,2,3,3,3
7/19/2017,3,3,5,4
7/20/2017,3,2,3,2
7/21/2017,1,2,4,1
7/22/2017,1,1,2,1
7/23/2017,10,2,6,3
7/24/2017,3,2,1,2
7/25/2017,4,2,5,4
7/26/2017,2,2,2,2
7/27/2017,2,1,4,4
7/28/2017,3,3,3,2
7/29/2017,5,6,3,2
7/30/2017,14,1,4,2
7/31/2017,4,13,7,2
8/1/2017,9,27,7,7
8/2/2017,8,12,8,4
8/3/2017,7,7,6,5
8/4/2017,4,11,2,4
8/5/2017,6,9,2,3
8/6/2017,9,14,10,5
8/7/2017,5,8,9,20
8/8/2017,6,6,3,6
8/9/2017,10,9,6,10
8/10/2017,6,8,4,2
8/11/2017,7,6,3,3
8/12/2017,4,1,5,3
8/13/2017,4,5,6,4
8/14/2017,7,7,5,4
8/15/2017,4,2,5,2
8/16/2017,7,5,7,1
8/17/2017,11,6,8,5
8/18/2017,3,10,7,4
8/19/2017,7,4,6,1
8/20/2017,8,7,8,3
8/21/2017,12,7,7,5
8/22/2017,7,10,7,5
8/23/2017,6,6,9,2
8/24/2017,11,6,11,3
8/25/2017,10,5,6,4
8/26/2017,7,3,8,1
8/27/2017,10,4,4,3
8/28/2017,7,3,5,2
8/29/2017,11,5,14,2
8/30/2017,8,2,13,2
8/31/2017,16,10,8,5
9/1/2017,13,6,5,1
9/2/2017,12,7,7,1
9/3/2017,10,9,9,3
9/4/2017,19,11,11,2
9/5/2017,18,5,6,2
9/6/2017,9,6,11,1
9/7/2017,14,10,10,4
9/8/2017,13,7,5,3
9/9/2017,9,5,9,1
9/10/2017,18,8,11,4
9/11/2017,17,7,12,6
9/12/2017,18,9,9,4
9/13/2017,20,6,13,6
9/14/2017,18,7,9,7
9/15/2017,16,7,9,3
9/16/2017,10,6,6,3
9/17/2017,13,8,12,3
9/18/2017,21,11,17,11
9/19/2017,22,9,14,2
9/20/2017,23,11,14,7
9/21/2017,23,10,15,7
9/22/2017,39,17,24,6
9/23/2017,85,34,100,35
