Day,Hillary Clinton: (United States),Donald Trump: (United States)
2016-07-08,10,12
2016-07-09,6,10
2016-07-10,5,10
2016-07-11,5,10
2016-07-12,7,11
2016-07-13,6,14
2016-07-14,6,17
2016-07-15,7,21
2016-07-16,7,21
2016-07-17,6,17
2016-07-18,6,19
2016-07-19,9,45
2016-07-20,10,39
2016-07-21,10,39
2016-07-22,19,65
2016-07-23,19,29
2016-07-24,13,23
2016-07-25,14,21
2016-07-26,18,27
2016-07-27,23,30
2016-07-28,21,36
2016-07-29,44,38
2016-07-30,19,27
2016-07-31,14,27
2016-08-01,12,28
2016-08-02,11,33
2016-08-03,10,35
2016-08-04,9,29
2016-08-05,9,25
2016-08-06,8,20
2016-08-07,8,19
2016-08-08,9,19
2016-08-09,10,22
2016-08-10,10,25
2016-08-11,9,22
2016-08-12,8,19
2016-08-13,7,17
2016-08-14,7,17
2016-08-15,6,16
2016-08-16,6,15
2016-08-17,7,17
2016-08-18,6,17
2016-08-19,6,24
2016-08-20,6,20
2016-08-21,7,17
2016-08-22,9,16
2016-08-23,9,16
2016-08-24,7,16
2016-08-25,8,16
2016-08-26,8,15
2016-08-27,7,15
2016-08-28,7,14
2016-08-29,6,13
2016-08-30,6,13
2016-08-31,6,19
2016-09-01,7,23
2016-09-02,6,15
2016-09-03,6,15
2016-09-04,6,14
2016-09-05,7,13
2016-09-06,9,14
2016-09-07,9,15
2016-09-08,12,19
2016-09-09,8,15
2016-09-10,8,14
2016-09-11,29,15
2016-09-12,36,16
2016-09-13,25,14
2016-09-14,18,18
2016-09-15,14,18
2016-09-16,12,20
2016-09-17,10,18
2016-09-18,9,15
2016-09-19,9,15
2016-09-20,10,17
2016-09-21,10,17
2016-09-22,10,17
2016-09-23,11,16
2016-09-24,10,16
2016-09-25,10,16
2016-09-26,15,22
2016-09-27,59,79
2016-09-28,21,33
2016-09-29,15,27
2016-09-30,14,29
2016-10-01,13,26
2016-10-02,12,31
2016-10-03,12,29
2016-10-04,12,24
2016-10-05,12,28
2016-10-06,10,24
2016-10-07,9,27
2016-10-08,16,95
2016-10-09,16,81
2016-10-10,42,100
2016-10-11,22,57
2016-10-12,19,47
2016-10-13,18,50
2016-10-14,16,45
2016-10-15,15,40
2016-10-16,15,39
2016-10-17,14,34
2016-10-18,15,33
2016-10-19,16,32
2016-10-20,36,76
2016-10-21,22,41
2016-10-22,16,34
2016-10-23,14,34
2016-10-24,14,30
2016-10-25,15,31
2016-10-26,16,33
2016-10-27,15,32
2016-10-28,27,31
2016-10-29,31,31
2016-10-30,24,29
2016-10-31,24,30
2016-11-01,25,35
2016-11-02,26,37
2016-11-03,28,37
2016-11-04,27,38
2016-11-05,27,39
2016-11-06,31,63
2016-11-07,37,56
2016-11-08,65,95
