Week,Democratic: (Texas),Republican: (Texas)
2018-06-10,8,11
2018-06-17,10,16
2018-06-24,15,18
2018-07-01,10,12
2018-07-08,8,10
2018-07-15,9,13
2018-07-22,8,13
2018-07-29,7,11
2018-08-05,9,13
2018-08-12,9,11
2018-08-19,8,13
2018-08-26,13,18
2018-09-02,11,14
2018-09-09,12,16
2018-09-16,14,20
2018-09-23,17,30
2018-09-30,18,31
2018-10-07,18,32
2018-10-14,20,30
2018-10-21,25,42
2018-10-28,26,40
2018-11-04,52,100
2018-11-11,19,23
2018-11-18,8,13
2018-11-25,13,16
2018-12-02,13,17
2018-12-09,13,13
2018-12-16,9,11
2018-12-23,5,8
2018-12-30,9,10
2019-01-06,13,15
2019-01-13,15,15
2019-01-20,16,17
2019-01-27,17,14
2019-02-03,20,18
2019-02-10,15,15
2019-02-17,18,17
2019-02-24,15,17
2019-03-03,17,15
2019-03-10,18,13
2019-03-17,19,14
2019-03-24,16,14
2019-03-31,18,14
2019-04-07,14,13
2019-04-14,16,15
2019-04-21,21,17
2019-04-28,20,15
2019-05-05,16,13
2019-05-12,15,12
2019-05-19,13,12
2019-05-26,11,9
2019-06-02,12,9
