Week,Democratic: (United States),Republican: (United States)
2018-06-10,11,16
2018-06-17,10,15
2018-06-24,19,20
2018-07-01,10,14
2018-07-08,9,14
2018-07-15,10,17
2018-07-22,11,15
2018-07-29,11,15
2018-08-05,13,20
2018-08-12,13,16
2018-08-19,11,16
2018-08-26,16,22
2018-09-02,12,18
2018-09-09,15,17
2018-09-16,12,18
2018-09-23,16,29
2018-09-30,17,29
2018-10-07,17,30
2018-10-14,18,31
2018-10-21,21,35
2018-10-28,25,40
2018-11-04,57,100
2018-11-11,16,22
2018-11-18,9,14
2018-11-25,11,16
2018-12-02,11,16
2018-12-09,11,14
2018-12-16,9,12
2018-12-23,6,9
2018-12-30,10,13
2019-01-06,14,17
2019-01-13,13,16
2019-01-20,15,18
2019-01-27,15,16
2019-02-03,20,18
2019-02-10,15,15
2019-02-17,18,16
2019-02-24,15,18
2019-03-03,16,16
2019-03-10,17,15
2019-03-17,17,15
2019-03-24,16,14
2019-03-31,16,14
2019-04-07,16,13
2019-04-14,17,14
2019-04-21,20,15
2019-04-28,17,14
2019-05-05,15,14
2019-05-12,16,15
2019-05-19,15,15
2019-05-26,14,12
2019-06-02,15,11
